29.667: [GC 16632K->248K(50688K), 0.0011280 secs]
29.764: [GC 16632K->248K(50688K), 0.0016100 secs]
29.861: [GC 16632K->248K(50688K), 0.0007650 secs]
29.949: [GC 16632K->248K(50688K), 0.0011160 secs]
30.043: [GC 16632K->248K(50688K), 0.0006520 secs]
30.140: [GC 16632K->248K(50688K), 0.0008440 secs]
30.228: [GC 16632K->248K(50688K), 0.0010960 secs]
30.317: [GC 16632K->248K(50688K), 0.0010810 secs]
30.404: [GC 16632K->248K(50688K), 0.0011580 secs]
30.492: [GC 16632K->248K(50688K), 0.0013690 secs]
30.580: [GC 16632K->248K(50688K), 0.0013600 secs]
30.669: [GC 16632K->248K(50688K), 0.0010110 secs]
30.763: [GC 16632K->248K(50688K), 0.0010150 secs]
30.862: [GC 16632K->248K(50688K), 0.0008010 secs]
30.950: [GC 16632K->248K(50688K), 0.0009240 secs]
31.037: [GC 16632K->248K(50688K), 0.0009130 secs]
31.124: [GC 16632K->248K(50688K), 0.0010440 secs]
31.222: [GC 16632K->248K(50688K), 0.0007510 secs]
31.309: [GC 16632K->248K(50688K), 0.0007910 secs]
31.397: [GC 16632K->248K(50688K), 0.0006840 secs]
31.483: [GC 16632K->248K(50688K), 0.0005930 secs]
31.571: [GC 16632K->248K(50688K), 0.0010640 secs]
31.659: [GC 16632K->248K(50688K), 0.0010440 secs]
31.747: [GC 16632K->248K(50688K), 0.0011560 secs]
31.835: [GC 16632K->248K(50688K), 0.0005980 secs]
31.927: [GC 16632K->248K(50688K), 0.0011180 secs]
32.015: [GC 16632K->248K(50688K), 0.0008640 secs]
32.107: [GC 16632K->248K(50688K), 0.0005990 secs]
32.211: [GC 16632K->248K(50688K), 0.0006640 secs]
32.301: [GC 16632K->248K(50688K), 0.0010290 secs]
32.399: [GC 16632K->248K(50688K), 0.0011380 secs]
32.486: [GC 16632K->248K(50688K), 0.0015290 secs]
32.576: [GC 16632K->248K(50688K), 0.0012190 secs]
32.665: [GC 16632K->248K(50688K), 0.0011810 secs]
32.752: [GC 16632K->248K(50688K), 0.0010900 secs]
32.841: [GC 16632K->248K(50688K), 0.0013910 secs]
32.932: [GC 16632K->248K(50688K), 0.0011100 secs]
33.019: [GC 16632K->248K(50688K), 0.0009180 secs]
33.117: [GC 16632K->248K(50688K), 0.0006340 secs]
33.209: [GC 16632K->248K(50688K), 0.0012730 secs]
33.298: [GC 16632K->248K(50688K), 0.0008290 secs]
33.391: [GC 16632K->248K(50688K), 0.0006230 secs]
33.478: [GC 16632K->248K(50688K), 0.0006040 secs]
33.565: [GC 16632K->248K(50688K), 0.0006020 secs]
33.655: [GC 16632K->248K(50688K), 0.0010320 secs]
33.743: [GC 16632K->248K(50688K), 0.0011290 secs]
33.831: [GC 16632K->248K(50688K), 0.0010090 secs]
33.923: [GC 16632K->248K(50688K), 0.0009880 secs]
34.011: [GC 16632K->248K(50688K), 0.0012460 secs]
34.099: [GC 16632K->248K(50688K), 0.0012270 secs]
34.194: [GC 16632K->248K(50688K), 0.0010620 secs]
34.282: [GC 16632K->248K(50688K), 0.0007680 secs]
34.369: [GC 16632K->248K(50688K), 0.0006360 secs]
34.458: [GC 16632K->248K(50688K), 0.0007700 secs]
34.546: [GC 16632K->248K(50688K), 0.0010330 secs]
34.634: [GC 16632K->248K(50688K), 0.0006660 secs]
34.726: [GC 16632K->248K(50688K), 0.0018640 secs]
34.818: [GC 16632K->248K(50688K), 0.0010440 secs]
34.906: [GC 16632K->248K(50688K), 0.0011980 secs]
34.994: [GC 16632K->248K(50688K), 0.0004870 secs]
35.080: [GC 16632K->248K(50688K), 0.0013560 secs]
35.167: [GC 16632K->248K(50688K), 0.0010790 secs]
35.255: [GC 16632K->248K(50688K), 0.0012840 secs]
35.343: [GC 16632K->248K(50688K), 0.0011480 secs]
35.432: [GC 16632K->248K(50688K), 0.0008330 secs]
35.523: [GC 16632K->248K(50688K), 0.0010900 secs]
35.620: [GC 16632K->248K(50688K), 0.0007550 secs]
35.707: [GC 16632K->248K(50688K), 0.0006130 secs]
35.799: [GC 16632K->248K(50688K), 0.0006200 secs]
35.891: [GC 16632K->248K(50688K), 0.0012840 secs]
35.985: [GC 16632K->248K(50688K), 0.0010970 secs]
36.072: [GC 16632K->248K(50688K), 0.0024740 secs]
36.165: [GC 16632K->248K(50688K), 0.0016340 secs]
36.257: [GC 16632K->248K(50688K), 0.0010570 secs]
36.345: [GC 16632K->248K(50688K), 0.0042790 secs]
36.435: [GC 16632K->248K(50688K), 0.0010650 secs]
36.523: [GC 16632K->248K(50688K), 0.0010760 secs]
36.618: [GC 16632K->248K(50688K), 0.0007890 secs]
36.706: [GC 16632K->248K(50688K), 0.0007720 secs]
36.798: [GC 16632K->248K(50688K), 0.0006090 secs]
36.893: [GC 16632K->248K(50688K), 0.0009170 secs]
37.002: [GC 16632K->248K(50688K), 0.0023100 secs]
37.094: [GC 16632K->248K(50688K), 0.0011030 secs]
37.187: [GC 16632K->248K(50688K), 0.0017840 secs]
37.276: [GC 16632K->248K(50688K), 0.0011850 secs]
37.373: [GC 16632K->248K(50688K), 0.0012130 secs]
37.469: [GC 16632K->248K(50688K), 0.0006700 secs]
37.568: [GC 16632K->248K(50688K), 0.0011090 secs]
37.663: [GC 16632K->248K(50688K), 0.0011010 secs]
37.751: [GC 16632K->248K(50688K), 0.0010540 secs]
37.838: [GC 16632K->248K(50688K), 0.0005950 secs]
37.931: [GC 16632K->248K(50688K), 0.0008150 secs]
38.018: [GC 16632K->248K(50688K), 0.0008110 secs]
38.106: [GC 16632K->248K(50688K), 0.0011190 secs]
38.193: [GC 16632K->248K(50688K), 0.0010140 secs]
38.280: [GC 16632K->248K(50688K), 0.0009160 secs]
38.368: [GC 16632K->248K(50688K), 0.0007560 secs]
38.455: [GC 16632K->248K(50688K), 0.0006910 secs]
38.547: [GC 16632K->248K(50688K), 0.0006880 secs]
38.634: [GC 16632K->248K(50688K), 0.0007340 secs]
38.720: [GC 16632K->248K(50688K), 0.0006670 secs]
38.807: [GC 16632K->248K(50688K), 0.0007700 secs]
38.901: [GC 16632K->248K(50688K), 0.0010190 secs]
38.988: [GC 16632K->248K(50688K), 0.0010430 secs]
39.079: [GC 16632K->248K(50688K), 0.0009970 secs]
39.168: [GC 16632K->248K(50688K), 0.0009770 secs]
39.255: [GC 16632K->248K(50688K), 0.0007170 secs]
39.347: [GC 16632K->248K(50688K), 0.0006280 secs]
39.443: [GC 16632K->248K(50688K), 0.0011850 secs]
39.537: [GC 16632K->248K(50688K), 0.0013650 secs]
39.631: [GC 16632K->248K(50688K), 0.0011980 secs]
39.719: [GC 16632K->248K(50688K), 0.0011360 secs]
39.806: [GC 16632K->248K(50688K), 0.0023520 secs]
39.895: [GC 16632K->248K(50688K), 0.0007360 secs]
39.989: [GC 16632K->248K(50688K), 0.0007060 secs]
40.082: [GC 16632K->248K(50688K), 0.0011410 secs]
40.169: [GC 16632K->248K(50688K), 0.0010660 secs]
40.256: [GC 16632K->248K(50688K), 0.0013070 secs]
40.345: [GC 16632K->248K(50688K), 0.0012260 secs]
